date,time,day
2022-04-21,00:45:00,Thursday
2022-04-21,00:50:00,Thursday
2022-04-27,08:15:00,Wednesday
2022-04-28,10:15:00,Thursday
2022-04-29,08:00:00,Friday
2022-05-03,10:20:00,Tuesday
2022-05-04,10:45:00,Wednesday
2022-05-10,08:10:00,Tuesday
2022-05-11,09:20:00,Wednesday
2022-05-13,10:30:00,Friday
2022-05-17,08:50:00,Tuesday
2022-05-19,08:00:00,Thursday
2022-05-23,08:45:00,Monday
2022-05-24,10:00:00,Tuesday
2022-05-25,09:50:00,Wednesday
2022-05-26,13:10:00,Thursday
2022-06-02,09:30:00,Thursday
2022-06-06,08:05:00,Monday
2022-06-10,08:05:00,Friday
2022-06-14,08:40:00,Tuesday
2022-06-15,11:05:00,Wednesday
2022-06-20,12:05:00,Monday
2022-06-21,10:00:00,Tuesday
2022-06-24,12:10:00,Friday
2022-06-27,10:00:00,Monday
2022-06-28,09:25:00,Tuesday
2022-06-30,08:45:00,Thursday
2022-07-04,10:25:00,Monday
2022-07-05,08:55:00,Tuesday
2022-07-06,10:25:00,Wednesday
2022-07-07,08:05:00,Thursday
2022-07-13,09:30:00,Wednesday
2022-07-18,09:55:00,Monday
2022-07-19,08:30:00,Tuesday
2022-07-20,08:25:00,Wednesday
2022-07-21,08:00:00,Thursday
2022-07-25,11:35:00,Monday
2022-07-27,08:00:00,Wednesday
2022-07-28,11:20:00,Thursday
2022-07-29,08:20:00,Friday
2022-08-01,10:35:00,Monday
2022-08-03,10:20:00,Wednesday
2022-08-04,10:25:00,Thursday
2022-08-08,08:50:00,Monday
2022-08-09,08:55:00,Tuesday
2022-08-10,10:30:00,Wednesday
2022-08-11,09:55:00,Thursday
2022-08-12,08:35:00,Friday
2022-08-17,08:00:00,Wednesday
2022-08-18,12:55:00,Thursday
2022-08-25,08:00:00,Thursday
2022-08-26,13:20:00,Friday
2022-08-30,10:35:00,Tuesday
2022-08-31,08:00:00,Wednesday
2022-09-02,10:10:00,Friday
2022-09-06,13:05:00,Tuesday
2022-09-08,14:00:00,Thursday
2022-09-09,08:00:00,Friday
2022-09-12,09:45:00,Monday
2022-09-13,09:05:00,Tuesday
2022-09-14,08:00:00,Wednesday
2022-09-22,11:05:00,Thursday
2022-09-27,08:40:00,Tuesday
2022-09-29,12:40:00,Thursday
2022-09-30,11:30:00,Friday
2022-10-03,08:45:00,Monday
2022-10-04,08:50:00,Tuesday
2022-10-07,11:10:00,Friday
2022-10-12,08:40:00,Wednesday
2022-10-13,12:10:00,Thursday
2022-10-17,08:05:00,Monday
2022-10-18,08:00:00,Tuesday
2022-10-20,08:10:00,Thursday
2022-10-25,11:35:00,Tuesday
2022-10-26,09:40:00,Wednesday
2022-11-01,08:40:00,Tuesday
2022-11-04,08:00:00,Friday
2022-11-07,10:30:00,Monday
2022-11-09,10:05:00,Wednesday
2022-11-10,08:45:00,Thursday
2022-11-11,09:45:00,Friday
2022-11-15,08:00:00,Tuesday
2022-11-16,09:55:00,Wednesday
2022-11-17,09:35:00,Thursday
2022-11-18,11:25:00,Friday
2022-11-22,11:35:00,Tuesday
2022-11-23,11:40:00,Wednesday
2022-11-24,12:45:00,Thursday
2022-11-28,10:50:00,Monday
2022-11-29,09:45:00,Tuesday
2022-11-30,11:00:00,Wednesday
2022-12-01,08:45:00,Thursday
2022-12-02,10:35:00,Friday
2022-12-07,10:50:00,Wednesday
2022-12-12,11:00:00,Monday
2022-12-13,09:00:00,Tuesday
2022-12-14,10:15:00,Wednesday
2022-12-19,10:05:00,Monday
2022-12-22,10:15:00,Thursday
2022-12-23,09:40:00,Friday
2022-12-27,08:50:00,Tuesday
2022-12-28,08:10:00,Wednesday
2022-12-29,11:45:00,Thursday
2023-01-04,09:10:00,Wednesday
2023-01-09,08:00:00,Monday
2023-01-11,08:00:00,Wednesday
2023-01-12,11:25:00,Thursday
