date,time,day
2022-04-21,00:45:00,Thursday
2022-04-21,00:50:00,Thursday
2022-04-22,09:25:00,Friday
2022-04-25,09:05:00,Monday
2022-04-26,10:15:00,Tuesday
2022-04-27,10:15:00,Wednesday
2022-04-28,08:00:00,Thursday
2022-05-02,08:05:00,Monday
2022-05-04,08:00:00,Wednesday
2022-05-05,08:00:00,Thursday
2022-05-06,09:45:00,Friday
2022-05-09,08:00:00,Monday
2022-05-10,10:55:00,Tuesday
2022-05-12,08:05:00,Thursday
2022-05-13,12:20:00,Friday
2022-05-16,09:40:00,Monday
2022-05-18,09:25:00,Wednesday
2022-05-24,11:30:00,Tuesday
2022-05-25,12:05:00,Wednesday
2022-05-26,08:10:00,Thursday
2022-05-31,09:35:00,Tuesday
2022-06-01,08:00:00,Wednesday
2022-06-03,08:10:00,Friday
2022-06-07,08:00:00,Tuesday
2022-06-08,10:05:00,Wednesday
2022-06-09,09:00:00,Thursday
2022-06-10,10:45:00,Friday
2022-06-13,09:05:00,Monday
2022-06-14,12:55:00,Tuesday
2022-06-16,08:35:00,Thursday
2022-06-17,08:55:00,Friday
2022-06-22,08:00:00,Wednesday
2022-06-23,10:10:00,Thursday
2022-06-28,09:00:00,Tuesday
2022-06-29,11:50:00,Wednesday
2022-06-30,14:00:00,Thursday
2022-07-01,10:10:00,Friday
2022-07-05,10:05:00,Tuesday
2022-07-06,08:00:00,Wednesday
2022-07-08,08:00:00,Friday
2022-07-11,09:00:00,Monday
2022-07-12,08:10:00,Tuesday
2022-07-14,09:15:00,Thursday
2022-07-15,09:30:00,Friday
2022-07-20,09:40:00,Wednesday
2022-07-21,10:25:00,Thursday
2022-07-22,08:00:00,Friday
2022-07-26,11:35:00,Tuesday
2022-07-28,12:50:00,Thursday
2022-07-29,11:35:00,Friday
2022-08-02,08:50:00,Tuesday
2022-08-04,09:25:00,Thursday
2022-08-05,12:30:00,Friday
2022-08-09,10:20:00,Tuesday
2022-08-12,10:45:00,Friday
2022-08-15,08:55:00,Monday
2022-08-16,10:00:00,Tuesday
2022-08-17,11:05:00,Wednesday
2022-08-18,08:55:00,Thursday
2022-08-19,08:00:00,Friday
2022-08-22,10:00:00,Monday
2022-08-23,08:15:00,Tuesday
2022-08-24,13:00:00,Wednesday
2022-08-26,08:10:00,Friday
2022-08-29,08:00:00,Monday
2022-08-31,10:55:00,Wednesday
2022-09-01,13:30:00,Thursday
2022-09-05,08:00:00,Monday
2022-09-07,13:55:00,Wednesday
2022-09-08,10:45:00,Thursday
2022-09-15,08:00:00,Thursday
2022-09-16,09:00:00,Friday
2022-09-19,08:35:00,Monday
2022-09-21,09:10:00,Wednesday
2022-09-22,09:55:00,Thursday
2022-09-23,09:45:00,Friday
2022-09-28,14:00:00,Wednesday
2022-09-29,08:35:00,Thursday
2022-09-30,13:55:00,Friday
2022-10-03,08:00:00,Monday
2022-10-05,10:45:00,Wednesday
2022-10-06,11:40:00,Thursday
2022-10-07,09:20:00,Friday
2022-10-10,08:55:00,Monday
2022-10-11,09:05:00,Tuesday
2022-10-13,09:25:00,Thursday
2022-10-14,10:15:00,Friday
2022-10-18,10:10:00,Tuesday
2022-10-19,09:00:00,Wednesday
2022-10-20,11:30:00,Thursday
2022-10-21,08:00:00,Friday
2022-10-27,09:30:00,Thursday
2022-10-28,09:10:00,Friday
2022-10-31,10:50:00,Monday
2022-11-03,10:05:00,Thursday
2022-11-07,09:30:00,Monday
2022-11-08,08:20:00,Tuesday
2022-11-09,11:10:00,Wednesday
2022-11-14,08:30:00,Monday
2022-11-17,12:10:00,Thursday
2022-11-21,08:30:00,Monday
2022-11-25,08:25:00,Friday
2022-12-02,08:05:00,Friday
2022-12-05,10:25:00,Monday
2022-12-06,08:50:00,Tuesday
2022-12-07,08:05:00,Wednesday
2022-12-08,11:00:00,Thursday
2022-12-15,10:05:00,Thursday
2022-12-16,10:25:00,Friday
2022-12-20,08:00:00,Tuesday
2022-12-21,08:15:00,Wednesday
2022-12-22,13:15:00,Thursday
2022-12-27,13:40:00,Tuesday
2022-12-30,09:20:00,Friday
2023-01-02,08:40:00,Monday
2023-01-03,09:55:00,Tuesday
2023-01-05,08:50:00,Thursday
2023-01-06,09:35:00,Friday
2023-01-10,09:10:00,Tuesday
2023-01-11,10:50:00,Wednesday
