date,time,day
2022-04-21,00:45:00,Thursday
2022-04-21,00:50:00,Thursday
2022-04-29,15:00:00,Wednesday
2022-05-03,15:00:00,Thursday
2022-05-04,15:00:00,Friday
2022-05-09,15:00:00,Tuesday
2022-05-11,15:00:00,Wednesday
2022-05-13,18:05:00,Tuesday
2022-05-17,15:00:00,Wednesday
2022-05-19,15:00:00,Friday
2022-05-20,16:20:00,Tuesday
2022-05-23,15:00:00,Thursday
2022-05-25,18:15:00,Monday
2022-05-30,18:25:00,Tuesday
2022-06-02,15:00:00,Wednesday
2022-06-06,15:00:00,Thursday
2022-06-07,17:30:00,Thursday
2022-06-09,16:35:00,Monday
2022-06-15,15:00:00,Friday
2022-06-16,15:30:00,Tuesday
2022-06-20,15:00:00,Wednesday
2022-06-21,16:45:00,Monday
2022-06-22,16:40:00,Tuesday
2022-06-23,16:50:00,Friday
2022-06-24,15:40:00,Monday
2022-06-27,17:45:00,Tuesday
2022-06-30,16:10:00,Thursday
2022-07-04,15:00:00,Monday
2022-07-07,15:00:00,Tuesday
2022-07-13,15:00:00,Wednesday
2022-07-15,16:00:00,Thursday
2022-07-18,15:00:00,Wednesday
2022-07-19,15:00:00,Monday
2022-07-22,16:45:00,Tuesday
2022-07-25,15:00:00,Wednesday
2022-07-27,15:00:00,Thursday
2022-08-01,15:00:00,Monday
2022-08-03,15:00:00,Wednesday
2022-08-08,15:00:00,Thursday
2022-08-09,15:00:00,Friday
2022-08-10,15:00:00,Monday
2022-08-11,15:10:00,Wednesday
2022-08-16,16:30:00,Thursday
2022-08-18,15:00:00,Monday
2022-08-23,16:35:00,Tuesday
2022-08-25,15:00:00,Wednesday
2022-08-26,15:30:00,Thursday
2022-08-29,17:15:00,Friday
2022-09-02,15:30:00,Wednesday
2022-09-05,18:55:00,Thursday
2022-09-08,15:00:00,Thursday
2022-09-09,17:00:00,Friday
2022-09-12,15:00:00,Tuesday
2022-09-13,15:00:00,Wednesday
2022-09-14,15:00:00,Friday
2022-09-22,15:00:00,Tuesday
2022-09-26,15:45:00,Thursday
2022-09-27,15:05:00,Friday
2022-09-28,17:40:00,Monday
2022-09-29,16:00:00,Tuesday
2022-10-03,15:00:00,Wednesday
2022-10-04,15:15:00,Thursday
2022-10-07,15:00:00,Tuesday
2022-10-11,15:20:00,Thursday
2022-10-12,15:00:00,Friday
2022-10-13,15:00:00,Monday
2022-10-17,15:00:00,Tuesday
2022-10-20,15:00:00,Friday
2022-10-21,18:45:00,Wednesday
2022-10-25,15:25:00,Thursday
2022-10-26,15:00:00,Monday
2022-11-01,15:00:00,Tuesday
2022-11-04,15:45:00,Thursday
2022-11-07,15:00:00,Tuesday
2022-11-08,17:15:00,Wednesday
2022-11-10,15:20:00,Tuesday
2022-11-11,15:00:00,Friday
2022-11-15,15:00:00,Monday
2022-11-16,15:00:00,Wednesday
2022-11-18,17:50:00,Thursday
2022-11-22,15:00:00,Friday
2022-11-23,15:00:00,Tuesday
2022-11-24,15:00:00,Wednesday
2022-11-29,15:00:00,Thursday
2022-11-30,15:00:00,Friday
2022-12-01,15:00:00,Tuesday
2022-12-02,18:50:00,Wednesday
2022-12-06,18:00:00,Thursday
2022-12-07,15:00:00,Monday
2022-12-08,15:30:00,Tuesday
2022-12-09,15:00:00,Wednesday
2022-12-12,15:00:00,Thursday
2022-12-13,15:00:00,Friday
2022-12-14,15:40:00,Wednesday
2022-12-23,15:00:00,Monday
2022-12-28,15:00:00,Tuesday
2022-12-29,15:35:00,Wednesday
2022-12-30,16:10:00,Monday
2023-01-04,15:00:00,Thursday
2023-01-06,17:00:00,Friday
2023-01-09,15:10:00,Tuesday
2023-01-12,15:30:00,Wednesday
