date,time,day
2022-04-21,00:45:00,Thursday
2022-04-21,00:50:00,Thursday
2022-04-22,15:00:00,Wednesday
2022-04-25,15:00:00,Thursday
2022-04-26,15:00:00,Friday
2022-04-27,15:25:00,Tuesday
2022-04-28,15:00:00,Wednesday
2022-05-02,15:45:00,Tuesday
2022-05-04,17:05:00,Wednesday
2022-05-05,15:00:00,Friday
2022-05-06,15:50:00,Tuesday
2022-05-10,17:50:00,Thursday
2022-05-11,15:35:00,Monday
2022-05-12,15:00:00,Tuesday
2022-05-13,15:30:00,Wednesday
2022-05-18,15:00:00,Thursday
2022-05-24,15:00:00,Thursday
2022-05-25,15:00:00,Monday
2022-05-26,15:15:00,Friday
2022-05-31,15:00:00,Tuesday
2022-06-01,15:00:00,Wednesday
2022-06-03,15:00:00,Monday
2022-06-07,15:10:00,Tuesday
2022-06-08,15:00:00,Friday
2022-06-09,15:50:00,Monday
2022-06-10,15:00:00,Tuesday
2022-06-13,15:00:00,Thursday
2022-06-14,15:00:00,Monday
2022-06-16,15:05:00,Tuesday
2022-06-17,15:00:00,Wednesday
2022-06-23,15:00:00,Thursday
2022-06-27,15:20:00,Wednesday
2022-06-28,15:00:00,Monday
2022-06-29,15:00:00,Tuesday
2022-06-30,15:05:00,Wednesday
2022-07-01,15:00:00,Thursday
2022-07-05,15:00:00,Monday
2022-07-06,15:00:00,Wednesday
2022-07-08,15:00:00,Thursday
2022-07-11,15:00:00,Friday
2022-07-12,15:00:00,Monday
2022-07-13,15:30:00,Wednesday
2022-07-14,15:00:00,Thursday
2022-07-15,15:30:00,Monday
2022-07-20,15:00:00,Tuesday
2022-07-21,15:00:00,Wednesday
2022-07-22,15:00:00,Thursday
2022-07-26,15:00:00,Friday
2022-07-28,15:00:00,Wednesday
2022-07-29,15:00:00,Thursday
2022-08-02,15:00:00,Thursday
2022-08-03,17:00:00,Friday
2022-08-04,15:00:00,Tuesday
2022-08-05,15:30:00,Wednesday
2022-08-12,15:00:00,Friday
2022-08-15,15:00:00,Tuesday
2022-08-16,15:00:00,Thursday
2022-08-17,15:00:00,Friday
2022-08-18,16:30:00,Monday
2022-08-19,15:00:00,Tuesday
2022-08-22,15:00:00,Wednesday
2022-08-23,15:20:00,Thursday
2022-08-24,15:00:00,Tuesday
2022-08-26,17:40:00,Thursday
2022-08-30,17:00:00,Friday
2022-08-31,15:00:00,Monday
2022-09-01,15:00:00,Tuesday
2022-09-02,16:55:00,Friday
2022-09-06,17:00:00,Wednesday
2022-09-07,15:00:00,Thursday
2022-09-08,16:05:00,Monday
2022-09-13,15:30:00,Tuesday
2022-09-15,15:00:00,Thursday
2022-09-16,15:00:00,Tuesday
2022-09-19,15:00:00,Wednesday
2022-09-20,15:25:00,Tuesday
2022-09-21,15:00:00,Friday
2022-09-23,15:00:00,Monday
2022-09-28,15:00:00,Wednesday
2022-09-30,15:00:00,Thursday
2022-10-05,15:00:00,Friday
2022-10-06,15:00:00,Tuesday
2022-10-07,15:40:00,Wednesday
2022-10-10,15:10:00,Thursday
2022-10-14,15:00:00,Friday
2022-10-18,15:00:00,Tuesday
2022-10-19,15:00:00,Wednesday
2022-10-21,15:00:00,Thursday
2022-10-24,15:30:00,Monday
2022-10-27,15:00:00,Tuesday
2022-10-28,15:25:00,Wednesday
2022-10-31,15:00:00,Thursday
2022-11-01,18:35:00,Friday
2022-11-02,17:55:00,Wednesday
2022-11-03,15:00:00,Monday
2022-11-08,15:00:00,Tuesday
2022-11-09,15:00:00,Wednesday
2022-11-14,15:50:00,Monday
2022-11-17,15:00:00,Thursday
2022-11-21,15:00:00,Friday
2022-11-25,15:00:00,Tuesday
2022-11-28,18:10:00,Wednesday
2022-11-30,17:30:00,Thursday
2022-12-02,15:30:00,Wednesday
2022-12-05,15:45:00,Monday
2022-12-06,17:05:00,Wednesday
2022-12-15,15:00:00,Thursday
2022-12-16,15:00:00,
2022-12-19,17:45:00,
2022-12-20,15:00:00,
2022-12-21,15:00:00,
2022-12-22,15:00:00,
2022-12-27,15:00:00,
2022-12-30,15:00:00,
2023-01-02,15:00:00,
2023-01-03,15:00:00,
2023-01-05,15:00:00,
2023-01-06,15:00:00,
2023-01-10,15:00:00,
2023-01-11,15:00:00,
