date,time,day
2022-04-21,00:45:00,Thursday
2022-04-21,00:50:00,Thursday
2022-05-03,15:30:00,Wednesday
2022-05-04,15:35:00,Thursday
2022-05-09,15:00:00,Friday
2022-05-11,16:45:00,Tuesday
2022-05-12,15:35:00,Wednesday
2022-05-13,18:05:00,Tuesday
2022-05-16,19:00:00,Wednesday
2022-05-17,15:05:00,Friday
2022-05-19,16:10:00,Tuesday
2022-05-20,16:20:00,Thursday
2022-05-27,16:45:00,Monday
2022-05-30,18:20:00,Tuesday
2022-06-02,15:00:00,Wednesday
2022-06-07,16:45:00,Thursday
2022-06-09,15:00:00,Thursday
2022-06-15,15:00:00,Monday
2022-06-16,15:30:00,Friday
2022-06-20,15:10:00,Tuesday
2022-06-22,16:40:00,Wednesday
2022-06-23,16:50:00,Monday
2022-06-24,17:05:00,Tuesday
2022-06-30,17:00:00,Friday
2022-07-04,15:00:00,Monday
2022-07-08,15:10:00,Tuesday
2022-07-12,16:25:00,Thursday
2022-07-13,17:45:00,Monday
2022-07-15,16:00:00,Tuesday
2022-07-18,16:40:00,Wednesday
2022-07-19,18:05:00,Thursday
2022-07-22,16:45:00,Wednesday
2022-07-25,15:05:00,Monday
2022-08-01,16:15:00,Tuesday
2022-08-08,16:40:00,Wednesday
2022-08-10,15:00:00,Thursday
2022-08-11,16:50:00,Monday
2022-08-16,16:10:00,Wednesday
2022-08-23,16:30:00,Thursday
2022-08-26,15:45:00,Friday
2022-08-29,15:20:00,Monday
2022-09-02,17:50:00,Wednesday
2022-09-12,15:10:00,Thursday
2022-09-14,17:50:00,Monday
2022-09-19,17:35:00,Tuesday
2022-09-26,15:20:00,Wednesday
2022-09-28,19:00:00,Thursday
2022-09-29,16:05:00,Friday
2022-10-03,17:05:00,Wednesday
2022-10-04,18:25:00,Thursday
2022-10-11,15:05:00,Thursday
2022-10-13,15:00:00,Friday
2022-10-17,15:40:00,Tuesday
2022-10-20,15:00:00,Wednesday
2022-10-21,18:45:00,Friday
2022-10-25,15:45:00,Tuesday
2022-10-26,18:35:00,Thursday
2022-10-28,15:00:00,Friday
2022-11-01,15:15:00,Monday
2022-11-04,15:55:00,Tuesday
2022-11-07,16:10:00,Wednesday
2022-11-08,17:10:00,Thursday
2022-11-10,15:20:00,Tuesday
2022-11-11,15:00:00,Thursday
2022-11-15,15:00:00,Friday
2022-11-22,15:00:00,Monday
2022-11-23,15:10:00,Tuesday
2022-11-24,16:20:00,Friday
2022-12-01,15:00:00,Wednesday
2022-12-06,18:00:00,Thursday
2022-12-07,15:00:00,Monday
2022-12-08,15:30:00,Tuesday
2022-12-09,15:00:00,Thursday
2022-12-12,15:45:00,Tuesday
2022-12-13,15:15:00,Wednesday
2022-12-14,17:25:00,Tuesday
2022-12-16,16:45:00,Friday
2022-12-28,15:00:00,Monday
2022-12-29,16:35:00,Wednesday
2022-12-30,16:10:00,Thursday
2023-01-06,17:00:00,Friday
2023-01-09,15:25:00,Tuesday
2023-01-12,15:30:00,Wednesday
